"DATE","YEARMODA","Day","Month","Year","Tmin","Tmax"
1958-04-16,1958416,16,4,1958,-2.5,8
1958-04-17,1958417,17,4,1958,1,6
1958-04-18,1958418,18,4,1958,4,8.5
1958-04-19,1958419,19,4,1958,4,14.5
1958-04-20,1958420,20,4,1958,6.5,17
1958-04-21,1958421,21,4,1958,1.5,15
1958-04-22,1958422,22,4,1958,1.2,10.5
1958-04-23,1958423,23,4,1958,1.5,14
1958-04-24,1958424,24,4,1958,7,23.5
1958-04-25,1958425,25,4,1958,3.5,14.5
1958-04-26,1958426,26,4,1958,4,14.5
1958-04-27,1958427,27,4,1958,3.5,8.5
1958-04-28,1958428,28,4,1958,5.5,12
1958-04-29,1958429,29,4,1958,4,13.5
1958-04-30,1958430,30,4,1958,3.5,16.5
1958-05-01,195851,1,5,1958,5.5,19.5
1958-05-02,195852,2,5,1958,8.5,21.3
1958-05-03,195853,3,5,1958,2.5,16
1958-05-04,195854,4,5,1958,4,15.3
1958-05-05,195855,5,5,1958,13.4,24.8
1958-05-06,195856,6,5,1958,9.1,17.4
1958-05-07,195857,7,5,1958,9.3,18.3
1958-05-08,195858,8,5,1958,12,21.2
1958-05-09,195859,9,5,1958,14.5,22.3
