"chillR_code","STATION.NAME","CTRY","Lat","Long","BEGIN","END","distance"
"162160_99999","VITERBO","IT",42.43,12.064,19440701,20210206,745.15
"134930_99999","KRIVA PALANKA","MK",42.2,22.333,19730101,20210206,746.4
"157120_99999","SANDANSKI","BU",41.55,23.267,19520101,20210206,748.45
"165460_99999","DECIMOMANNU","IT",39.354,8.972,19660923,20210206,753.46
"167540_99999","NIKOS KAZANTZAKIS","GR",35.34,25.18,19321101,20210206,757.3
"133530_99999","SARAJEVO","BK",43.825,18.331,19360102,20210206,777.57
"165310_99999","OLBIA COSTA SMERALDA","IT",40.899,9.518,19691117,20210206,785.1
"161810_99999","PERUGIA","IT",43.096,12.513,19671106,20210206,786.84
"161680_99999","MOUNT ARGENTARIO","IT",42.383,11.167,19730101,20210206,787.27
"607450_99999","GAFSA","TS",34.422,8.823,19490107,20210206,788.33
"621200_99999","GARIAT EL-SHARGHIA","LY",30.383,13.583,19730101,20210206,788.47
"607750_99999","REMADA","TS",32.306,10.382,19490108,20210206,791.2
"133670_99999","ZLATIBOR","RI",43.733,19.717,19730101,20210206,793.5
"133890_99999","LESKOVAC","RI",42.983,21.95,19730102,20210206,797.38
"161900_99999","ANCONA","IT",43.617,13.533,19490403,20210206,801.65
"161910_99999","FALCONARA","IT",43.616,13.362,19450414,20210206,806.97
"165390_99999","CAPE FRASCA","IT",39.75,8.467,19660104,20210206,809.07
"604750_99999","CHEIKH LARBI TEBESSI","AG",35.432,8.121,19510102,20210206,813.84
"156150_99999","MUSSALA (TOP/SOMMET)","BU",42.183,23.583,19350102,20210206,815.43
"603600_99999","ANNABA","AG",36.822,7.809,19450609,20210206,818.19
"133760_99999","KRALJEVO","RI",43.7,20.7,19360102,20210206,818.36
"161790_99999","FRONTONE","IT",43.517,12.733,19730101,20210206,819.06
"162060_99999","GROSSETO","IT",42.76,11.072,19441211,20210206,824.17
"133880_99999","NIS","RI",43.337,21.854,19360102,20210206,826.24
"620620_99999","TOBRUK","LY",32.1,23.933,19441027,20210206,830.36
"077700_99999","CAP PERTUSATO","FR",41.367,9.167,19360703,20210206,838.08
"620020_99999","NALUT","LY",31.514,10.598,19490130,20210206,838.28
"133970_99999","DIMITROVGRAD","RI",43.017,22.75,19730105,20210206,838.6
"077680_99999","LA CHIAPPA","FR",41.6,9.367,19360615,20210206,839.16
"167570_99999","SITIA","GR",35.2,26.1,19640101,20210206,842.1
"156140_99999","SOFIA","BU",42.695,23.406,19310901,20210206,845.91
"077650_99999","SOLENZARA","FR",41.924,9.406,19730101,20210206,858.24
"161970_99999","MONTE CALAMITA","IT",42.733,10.4,19730101,20210206,858.39
"132690_99999","VALJEVO","RI",44.317,19.917,19730102,20210206,860.19
"165200_99999","ALGHERO","IT",40.632,8.291,19570701,20210206,861.41
"133840_99999","CUPRIJA","RI",43.933,21.383,19730105,20210206,865.36
"621310_99999","HON","LY",29.117,15.95,19490130,20210206,868.38
"607600_99999","NEFTA","TS",33.94,8.111,19730101,20210206,869.93
"132620_99999","LOZNICA","RI",44.55,19.233,19730101,20210206,870.56
"156000_99999","MOURGASH","BU",42.833,23.667,19730305,20210206,871.68
"161490_99999","RIMINI","IT",44.02,12.612,19450408,20210206,873.25
"166670_99999","MITILINI","GR",39.057,26.598,19600713,20210206,877.24
"156250_99999","PLOVDIV","BU",42.068,24.851,19390102,20210206,886.54
"166270_99999","DIMOKRITOS","GR",40.856,25.956,19321101,20210206,893.06
"132420_99999","BANJA LUKA","BK",44.941,17.298,19360701,20210206,893.57
"603550_99999","SKIKDA","AG",36.933,6.95,19570206,20210206,894.01
"132790_99999","SMEDEREVSKA PALANKA","RI",44.367,20.95,19730102,20210206,894.3
"157300_99999","KURDJALI","BU",41.65,25.383,19570627,20210206,895.49
"171120_99999","CANAKKALE","TU",40.138,26.427,19630101,20210206,897.76
"077900_99999","PORETTA","FR",42.553,9.484,19450518,20210206,898.19
"077610_99999","CAMPO DELL ORO","FR",41.924,8.803,19360616,20210206,898.25
"172180_99999","CIGLI","TU",38.513,27.01,19500115,20210206,901.33
"171800_99999","DIKILI","TU",39.067,26.883,19730101,20210206,901.55
"161480_99999","CERVIA","IT",44.224,12.307,19730101,20210206,904.54
"132890_99999","CRNI VRH","RI",44.117,21.95,19730302,20210206,904.84
"077520_99999","LA PARATA","FR",41.917,8.617,19360617,20210206,910.39
"161470_99999","FORLI","IT",44.195,12.07,19730101,20210205,910.64
"161700_99999","FIRENZE","IT",43.81,11.205,19310102,20210206,910.68
"172191_99999","GAZIEMIR","TU",38.319,27.159,19731108,20210205,911.38
"172200_99999","IZMIR/GUZELYALI","TU",38.433,27.167,19500115,20210206,913.66
"607800_99999","EL BORMA","TS",31.704,9.255,19490209,20210206,915.19
"077910_99999","CAPE SAGRO","FR",42.8,9.483,19431204,20210206,916.79
"132720_99999","BEOGRAD","RI",44.818,20.309,19450501,20210206,922.81
"132740_99999","BEOGRAD","RI",44.8,20.467,19520101,20210206,925.03
"161460_99999","POINT MARINA/RAVENN","IT",44.45,12.3,19660104,20210206,927.13
"604190_99999","MOHAMED BOUDIAF INTL","AG",36.276,6.62,19430301,20210206,929.88
"155020_99999","VIDIN","BU",43.983,22.85,19730314,20210206,930.2
"154820_99999","CALAFAT","RO",43.983,22.95,19730105,20210206,934.74
"161580_99999","PISA","IT",43.684,10.393,19441124,20210206,938.54
"077850_99999","CAP CORSE","FR",43,9.367,19360615,20210206,938.93
"077540_99999","SAINT CATHERINE","FR",42.531,8.793,19730101,20210206,939.83
"132950_99999","NEGOTIN","RI",44.233,22.55,19730101,20210206,940.37
"131160_99999","RIJEKA","HR",45.217,14.57,19730101,20210206,945.82
"172900_99999","IMSIK","TU",37.14,27.67,19630101,20210206,950.53
"132850_99999","VELIKO GRADISTE","RI",44.75,21.517,19360701,20210206,951.61
"154650_99999","BAILESTI","RO",44.017,23.333,19730721,20210206,955.67
"604680_99999","BATNA","AG",35.752,6.309,19730101,20210206,966.7
"131680_99999","NOVI SAD RIMSKI SANCEVI","RI",45.333,19.85,19360801,20210206,966.94
"161340_99999","CIMONE MOUNTAIN","IT",44.2,10.7,19650201,20210206,969.4
"621610_99999","JALO","LY",29.033,21.567,19490129,20210120,971.35
"161400_99999","BOLOGNA","IT",44.535,11.289,19640811,20210206,974.6
"171840_99999","AKHISAR","TU",38.809,27.834,19630101,20210206,977.22
"170500_99999","EDIRNE","TU",41.667,26.567,19550101,20210206,980.65
"154100_99999","DROBETA TURNU SEVERIN","RO",44.633,22.633,19360101,20210206,981.76
"131830_99999","VRSAC","RI",45.147,21.31,19730101,20210206,985.2
"153380_99999","ORAVITA","RO",45.033,21.683,19730108,20210206,985.65
"154120_99999","BACLES","RO",44.483,23.117,19730721,20210206,988.2
"161380_99999","FERRARA (AUT)","IT",44.833,11.617,19730101,20210206,990.12
"167490_99999","DIAGORAS","GR",36.405,28.086,19350101,20210206,993.35
"161250_99999","SARZANA/LUNI","IT",44.083,9.983,19731109,20210205,993.74
"161290_99999","PALMARIA ISLAND","IT",44.033,9.833,19730101,20210206,997.07
"605590_99999","GUEMAR","AG",33.511,6.777,19650101,20210206,1002.13
"171500_99999","BALIKESIR","TU",39.619,27.926,19500101,20210206,1003.12
"152890_99999","BANLOC","RO",45.383,21.133,19730105,20210206,1004.16
"621030_99999","GHADAMES EAST","LY",30.152,9.715,19570101,20210206,1007.39
"161100_99999","TRIESTE","IT",45.65,13.75,19321020,20210206,1008.88
"154500_99999","CRAIOVA","RO",44.318,23.889,19360101,20210206,1009.15
"172920_99999","MUGLA","TU",37.217,28.367,19630101,20210206,1012.18
"153150_99999","SEMENIC","RO",45.183,22.05,19730721,20210206,1013.25
"154900_99999","TURNU-MAGURELE","RO",43.75,24.883,19361201,20210206,1013.5
"154690_99999","CARACAL","RO",44.1,24.367,19730721,20210206,1014.41
"129420_99999","PECS SOUTH","HU",45.991,18.241,19360501,20210206,1015.27
"170560_99999","TEKIRDAG","TU",40.983,27.55,19630101,20210206,1020.93
"156400_99999","SLIVEN","BU",42.667,26.333,19530305,20210206,1024.19
"153410_99999","APA NEAGRA","RO",45,22.867,19730819,20210206,1026.26
"171150_99999","BANDIRMA","TU",40.318,27.978,19500101,20210206,1028.93
"161050_99999","VENEZIA TESSERA","IT",45.505,12.352,19610301,20210206,1031.44
